City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
617,Laurel,US,39.0993,-76.8483,91.85,61,75,3.0,broken clouds
618,Hualmay,PE,-11.0964,-77.6139,66.24,77,25,11.79,scattered clouds
619,Bunia,CD,1.5667,30.25,63.86,84,100,2.51,overcast clouds
620,Zahir Pir,PK,28.8124,70.524,96.42,48,55,10.04,broken clouds
621,Rio Cuarto,AR,-33.1307,-64.3499,56.97,51,0,10.36,clear sky
622,Rio Gallegos,AR,-51.6226,-69.2181,39.25,100,90,10.36,light rain
623,San Policarpo,PH,12.1791,125.5072,77.94,88,72,3.22,broken clouds
624,Lusaka,ZM,-15.4067,28.2871,64.18,37,59,7.36,broken clouds
625,Haines Junction,CA,60.7522,-137.5108,46.69,91,100,3.11,light rain
626,Namtsy,RU,62.7161,129.6658,60.91,57,100,3.04,overcast clouds
627,Axim,GH,4.8699,-2.2405,76.95,82,100,10.63,light rain
628,Macapa,BR,0.0389,-51.0664,89.58,66,75,11.5,light rain
629,Mezhdurechenskiy,RU,59.6,65.9333,46.47,62,11,8.32,few clouds
630,Aanekoski,FI,62.6946,25.818,68.68,73,5,4.61,clear sky
631,Saint Anthony,US,45.0205,-93.218,71.53,90,90,11.5,heavy intensity rain
632,Touros,BR,-5.1989,-35.4608,81.5,76,100,15.59,overcast clouds
633,Upington,ZA,-28.4478,21.2561,39.58,38,0,0.0,clear sky
634,Muncar,ID,-8.4333,114.3333,75.6,74,100,4.25,overcast clouds
635,Pendleton,US,45.6721,-118.7886,98.42,24,1,5.01,clear sky
636,Biograd Na Moru,HR,43.9433,15.4519,77.76,57,0,9.4,clear sky
637,Shushtar,IR,32.0455,48.8567,97.97,13,0,1.52,clear sky
638,Georgiyevka,KZ,43.0369,74.7114,64.44,82,20,4.47,light rain
639,Manokwari,ID,-0.8667,134.0833,78.12,81,100,2.17,overcast clouds
640,Lata,PT,40.1629,-8.3327,77.04,67,89,1.1,overcast clouds
641,Saint-Joseph,RE,-21.3667,55.6167,68.36,80,64,14.34,light rain
642,Krasnyy Kut,RU,50.95,46.9667,67.96,86,90,6.91,overcast clouds
643,Vazante,BR,-17.9869,-46.9078,71.04,44,2,3.13,clear sky
644,Narayanganj,BD,23.6233,90.5011,84.22,85,100,5.99,overcast clouds
645,Aksu,CN,41.1231,80.2644,72.57,42,48,9.15,scattered clouds
646,Chabahar,IR,25.2919,60.643,86.16,67,100,5.88,overcast clouds
647,Salantai,LT,56.0667,21.5667,72.82,83,1,2.59,clear sky
648,Hambantota,LK,6.1241,81.1185,78.89,79,96,11.54,overcast clouds
649,Muhos,FI,64.808,25.9931,65.98,77,63,1.88,broken clouds
650,Watertown,US,42.3709,-71.1828,87.01,78,40,1.01,mist
651,Amga,RU,60.8953,131.9608,65.03,67,13,1.92,few clouds
652,Tabas,IR,33.5959,56.9244,93.87,15,36,9.33,scattered clouds
653,Beidao,CN,34.5686,105.8933,68.94,97,100,3.53,light rain
654,Mehamn,NO,71.0357,27.8492,48.11,88,80,6.8,broken clouds
655,North Bend,US,43.4065,-124.2243,76.24,70,1,20.71,clear sky
656,Yuzha,RU,56.5831,42.0122,66.63,86,96,4.32,light rain
657,Vanimo,PG,-2.6741,141.3028,77.41,90,98,5.44,overcast clouds
