City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Cabo San Lucas,MX,22.8909,-109.9124,96.51,48,1,11.5,clear sky
1,College,US,64.8569,-147.8028,60.75,77,90,5.75,light rain
2,Barrow,US,71.2906,-156.7887,35.62,75,40,8.05,scattered clouds
3,Carnarvon,AU,-24.8667,113.6333,62.67,55,75,13.8,broken clouds
4,Atuona,PF,-9.8,-139.0333,78.4,63,14,23.38,few clouds
5,Selikhino,RU,50.3672,137.4996,71.47,96,100,1.97,overcast clouds
6,Bluff,NZ,-46.6,168.3333,43.81,65,84,10.38,broken clouds
7,Hilo,US,19.7297,-155.09,85.28,62,1,10.36,clear sky
8,Narsaq,GL,60.9167,-46.05,55.36,68,29,4.23,scattered clouds
9,Mataura,NZ,-46.1927,168.8643,43.48,94,76,2.28,broken clouds
10,Labuhan,ID,-6.8844,112.2051,75.51,78,100,10.07,overcast clouds
11,Acapulco,MX,16.8634,-99.8901,87.62,66,75,8.05,broken clouds
12,Coahuayana,MX,18.7333,-103.6833,94.48,57,85,5.28,overcast clouds
13,Thai Binh,VN,20.45,106.3333,86.0,78,85,8.57,overcast clouds
14,Chuy,UY,-33.6971,-53.4616,53.74,97,100,9.51,light rain
15,Montevideo,UY,-34.8335,-56.1674,53.31,100,90,9.22,drizzle
16,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,84,13.89,light rain
17,Banff,CA,51.1762,-115.5698,84.58,21,10,8.72,clear sky
18,Mahebourg,MU,-20.4081,57.7,70.09,68,20,10.36,few clouds
19,Juneau,US,58.3019,-134.4197,60.85,88,90,5.99,light rain
20,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,40,9.22,scattered clouds
21,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,87,37,12.62,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,73.06,71,0,8.93,clear sky
23,Old Orchard Beach,US,43.5173,-70.3775,77.43,89,90,1.01,overcast clouds
24,Kodiak,US,57.79,-152.4072,56.71,72,90,12.66,overcast clouds
25,Carballo,ES,43.213,-8.691,64.0,92,57,8.79,broken clouds
26,Norman Wells,CA,65.282,-126.8329,58.6,67,95,12.44,overcast clouds
27,Hasaki,JP,35.7333,140.8333,72.28,91,96,7.09,overcast clouds
28,Busselton,AU,-33.65,115.3333,50.04,60,92,28.43,overcast clouds
29,Nizwa,OM,22.9333,57.5333,85.86,62,100,1.9,overcast clouds
30,Kaitangata,NZ,-46.2817,169.8464,43.93,66,77,6.31,broken clouds
31,Batticaloa,LK,7.7102,81.6924,81.91,75,100,4.29,overcast clouds
32,Vila,PT,42.0304,-8.1588,59.74,69,91,6.15,overcast clouds
33,Ormara,PK,25.2088,64.6357,83.25,85,100,22.79,overcast clouds
34,Asau,RO,46.4333,26.4,70.72,96,0,3.65,clear sky
35,Tres Arroyos,AR,-38.3739,-60.2798,47.19,51,76,7.23,broken clouds
36,Erenhot,CN,43.6475,111.9767,76.95,46,100,1.88,overcast clouds
37,Bredasdorp,ZA,-34.5322,20.0403,42.12,87,95,3.44,overcast clouds
38,Zupanja,HR,45.0775,18.6975,76.98,62,60,7.54,broken clouds
39,Sistranda,NO,63.7256,8.834,62.91,86,62,5.88,broken clouds
40,Vardo,NO,70.3705,31.1107,52.0,91,100,7.36,overcast clouds
41,Ketchikan,US,55.3422,-131.6461,61.27,63,90,8.05,overcast clouds
42,Victoria,HK,22.2855,114.1577,87.33,85,18,1.01,few clouds
43,Arman,RU,59.7,150.1667,63.28,70,98,7.63,overcast clouds
44,Te Anau,NZ,-45.4167,167.7167,45.0,93,100,0.76,light rain
45,Jamestown,US,42.097,-79.2353,80.1,60,1,9.22,clear sky
46,Mar Del Plata,AR,-38.0023,-57.5575,51.13,67,0,7.0,clear sky
47,Faanui,PF,-16.4833,-151.75,79.61,72,57,18.54,broken clouds
48,Butaritari,KI,3.0707,172.7902,83.95,75,4,12.46,clear sky
49,Sitka,US,57.0531,-135.33,57.09,77,90,5.75,light rain
50,Mairi,BR,-11.7114,-40.1489,76.5,49,83,11.54,broken clouds
51,Tuatapere,NZ,-46.1333,167.6833,43.83,79,60,3.58,broken clouds
52,Vaini,TO,-21.2,-175.2,73.56,88,90,10.36,light intensity drizzle
53,Puerto Ayora,EC,-0.7393,-90.3518,80.56,76,57,12.21,broken clouds
54,Cidreira,BR,-30.1811,-50.2056,61.12,80,73,6.8,broken clouds
55,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,73,75,9.46,broken clouds
56,Georgetown,MY,5.4112,100.3354,80.55,71,40,1.99,scattered clouds
57,Mitzic,GA,0.7821,11.549,70.14,88,99,3.85,overcast clouds
58,Hagere Selam,ET,6.4833,38.5167,47.71,94,100,3.44,overcast clouds
59,Trinidad,BO,-14.8333,-64.9,91.38,52,20,10.36,few clouds
60,Hermanus,ZA,-34.4187,19.2345,50.9,80,82,7.94,broken clouds
61,Castro,BR,-24.7911,-50.0119,59.79,63,44,4.16,scattered clouds
62,Vila Velha,BR,-20.3297,-40.2925,78.96,71,0,4.61,clear sky
63,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,8.05,broken clouds
64,Severo-Kurilsk,RU,50.6789,156.125,52.48,94,100,17.11,moderate rain
65,Albany,US,42.6001,-73.9662,84.45,87,28,7.85,moderate rain
66,Melilla,ES,35.2937,-2.9383,73.6,78,0,3.44,clear sky
67,Lata,PT,40.1629,-8.3327,66.34,67,89,1.1,overcast clouds
